	user_id	item_id	cluster
162	163	[1, 6, 10, 2058, 2064, 20, 21, 2075, 43, 46, 49, 67, 2117, 2123, 2134, 86, 94, 105, 107, 2171, 2178, 135, 137, 138, 147, 148, 2197, 151, 153, 155, 2204, 157, 158, 2215, 2218, 182, 2233, 188, 2239, 192, 206, 2256, 217, 222, 242, 2298, 2309, 267, 269, 272, 275, 282, 2332, 293, 294, 297, 314, 2369, 2370, 2371, 337, 341, 345, 2401, 354, 357, 2416, 373, 2430, 391, 402, 406, 408, 409, 2459, 424, 426, 432, 2489, 446, 447, 460, 461, 2512, 478, 2538, 496, 2551, 510, 511, 513, 517, 518, 526, 2587, 547, 549, 550, 552, 2608, 562, 564, 577, 2639, 593, 612, 614, 616, 2665, 622, 2686, 2688, 2689, 642, 644, 645, 2694, 652, 669, 671, 2723, 677, 2735, 691, 699, 2749, 705, 708, 713, 716, 721, 740, 2791, 751, 2809, 2825, 2826, 2827, 2834, 2840, 2842, 2843, 2854, 2855, 2859, 2860, 2884, 876, 877, 2926, 2927, 885, 2934, 896, 2955, 2956, 919, 2968, 2970, 931, 941, 942, 2993, 2995, 948, 950, 3008, 3019, 3021, 3022, 3024, 3034, 3042, 997, 999, 3057, 1011, 1014, 1015, 1016, 3066, 1019, 3067, 1022, 1023, 3078, 1039, 1041, 1048, 3101, 3107, 1064, 1065, 3114, 3115, 1074, 3135, 1090, 3181, 3201, 1165, 1166, 1167, 1173, 1174, 1175, 1179, 1180, 3227, 3233, 3236, 1189, 3246, 3260, 1213, 1212, 3263, 1217, 1231, 1239, 1244, 3297, 1249, 1264, 3333, 1288, 1295, 1308, 3357, 1311, 1321, 1324, 1328, 1330, 1334, 1335, 1338, 1343, 1348, 1349, 1350, 3407, 1360, 1359, 3412, 1367, 1369, 1373, 1374, 1409, 1417, 1420, 1423, 1436, 1454, 1461, 1464, 1467, 1475, 1477, 1486, 1490, 1496, 1497, 1516, 1517, 1536, 1543, 1545, 1548, 1551, 1556, 1557, 1570, 1583, 1587, 1588, 1593, 1624, 1670, 1676, 1693, 1698, 1726, 1794, 1820, 1833, 1834, 1837, 1901, 1918, 1921, 1923, 1925, 1931, 1934, 1944, 1960, 1961, 1968, 1973, 1975, 1979, 1991, 1993, 2032, 2039, 2041]	10
51	52	[2688, 130, 642, 6, 1158, 520, 1033, 2826, 21, 671, 1698, 547, 550, 424, 1192, 1834, 1321, 1324, 3380, 1333, 1076, 441, 2233, 1211, 447, 2371, 326, 1991, 1351, 1353, 330, 460, 589, 2512, 3412, 2774, 3416, 89, 345, 478, 357, 105, 107, 494, 2804, 885, 2430]	11
38	39	[896, 2694, 3078, 2315, 2319, 2321, 2325, 2198, 2070, 2587, 2459, 2204, 3232, 1697, 2594, 676, 1445, 296, 2218, 2221, 1454, 948, 2747, 2367, 1993, 2506, 2378, 2380, 206, 1360, 2135, 995, 2290, 2551, 2296, 2430]	12
41	42	[1551, 2576, 1039, 2575, 24, 1023, 1052, 32, 547, 2091, 1580, 1069, 2092, 1587, 564, 1591, 3127, 1594, 2620, 1086, 1087, 64, 1090, 1100, 1623, 1112, 2654, 2151, 2158, 3183, 2160, 3185, 3186, 3187, 2159, 3188, 2161, 2164, 1147, 645, 1159, 1160, 1161, 1162, 1163, 1164, 653, 652, 1679, 3182, 1681, 1682, 2197, 1174, 1691, 3228, 157, 158, 671, 1183, 678, 1703, 3239, 170, 3250, 180, 182, 3258, 2747, 2242, 3271, 2254, 2255, 2256, 3279, 721, 736, 1762, 2276, 2278, 1773, 242, 2294, 1784, 1785, 773, 2821, 1288, 1807, 1301, 294, 1321, 1324, 1328, 306, 818, 1334, 1335, 3391, 2883, 3401, 1353, 333, 859, 356, 876, 1389, 877, 907, 1931, 403, 409, 927, 1951, 2984, 424, 945, 948, 950, 447, 1482, 2512, 2003, 3034, 995, 997, 998, 999, 1001, 1516, 2030, 1007, 1011, 1015, 507, 2044, 2045, 1022, 2559]	13
112	113	[1412, 3078, 1288, 1301, 2326, 2197, 2842, 2459, 3228, 1698, 931, 3234, 3236, 547, 3115, 1324, 2993, 2995, 3381, 565, 447, 67, 3271, 3019, 3021, 589, 3022, 3277, 2271, 3040, 998, 742, 1641, 1389, 494, 1646, 1647, 3059, 1655, 2811]	14
157	158	[353, 771, 1668, 772, 70, 2951, 2326, 792, 761, 1083, 3197, 221]	15
79	80	[769, 1, 2695, 1676, 1698, 547, 2723, 1445, 550, 2724, 1064, 2732, 562, 60, 447, 2370, 333, 213, 3286, 341, 995, 105, 2923, 494, 1011, 2934, 2298, 2686]	16
84	85	[1793, 3331, 1667, 3078, 2825, 2840, 2841, 2459, 1698, 931, 3236, 3109, 2859, 2860, 46, 3378, 3019, 3286, 735, 3301, 2791, 2926, 2927]	17
148	149	[2, 6, 9, 10, 2064, 16, 21, 22, 25, 29, 30, 32, 35, 38, 41, 44, 46, 49, 78, 91, 97, 105, 106, 111, 2160, 123, 2173, 146, 147, 2197, 150, 149, 155, 2204, 2218, 178, 182, 2233, 2236, 2242, 206, 212, 214, 217, 228, 229, 231, 242, 2291, 254, 2303, 2304, 269, 272, 275, 2325, 279, 285, 286, 287, 296, 297, 298, 303, 2352, 311, 314, 319, 2370, 2371, 2372, 326, 330, 334, 344, 350, 354, 2403, 357, 2405, 2419, 399, 402, 2459, 2460, 413, 423, 424, 2471, 2483, 438, 2489, 442, 441, 447, 448, 449, 2508, 460, 2512, 2513, 2514, 2515, 474, 476, 482, 488, 494, 2543, 496, 2545, 2544, 501, 2551, 507, 514, 2564, 520, 526, 2575, 2587, 2589, 545, 547, 2595, 2596, 550, 549, 2608, 562, 2631, 589, 2642, 2666, 2681, 2682, 2685, 2688, 2689, 642, 653, 2712, 669, 671, 2723, 2738, 2742, 2747, 2748, 702, 719, 721, 727, 2775, 2798, 2805, 2807, 2808, 768, 2819, 2824, 2842, 2843, 2863, 2883, 2887, 2888, 876, 880, 885, 2934, 2937, 2940, 2945, 897, 905, 908, 909, 910, 919, 920, 925, 927, 936, 2984, 2989, 2993, 948, 955, 3007, 3008, 3013, 3019, 3022, 974, 982, 3031, 3034, 3042, 997, 998, 999, 3047, 1001, 1003, 1005, 3055, 1007, 1009, 3059, 1011, 1014, 1015, 1021, 1022, 1023, 1026, 1028, 1029, 3078, 1030, 1033, 1034, 1037, 1039, 1043, 1045, 1046, 1048, 1051, 3101, 1055, 1057, 1058, 1062, 1064, 1065, 1069, 1071, 3122, 1076, 3124, 1087, 1088, 1091, 1092, 1093, 1094, 1098, 1103, 3168, 1134, 3183, 3186, 3187, 1149, 3202, 1158, 1162, 1165, 3216, 1174, 3224, 1180, 1183, 3234, 3236, 1192, 1195, 3243, 3244, 1217, 3271, 1240, 3288, 1267, 1276, 1279, 3335, 1288, 1295, 3369, 1321, 1324, 1333, 1338, 1353, 1354, 1360, 1367, 1378, 1382, 1389, 1399, 1409, 1418, 1436, 1438, 1445, 1446, 1451, 1463, 1480, 1487, 1488, 1503, 1537, 1583, 1585, 1593, 1619, 1622, 1623, 1624, 1631, 1633, 1635, 1652, 1670, 1672, 1690, 1693, 1698, 1726, 1732, 1735, 1768, 1778, 1794, 1799, 1822, 1826, 1834, 1860, 1881, 1885, 1892, 1914, 1918, 1921, 1925, 1932, 1934, 1942, 1945, 1963, 1968, 1982, 1990, 1991, 1996, 2028, 2032, 2033, 2043]	18
192	193	[1024, 2050, 1034, 1035, 11, 1037, 1038, 21, 1049, 2587, 3100, 1053, 1052, 541, 33, 546, 35, 1064, 1068, 49, 562, 3123, 1077, 1081, 1083, 1086, 1091, 1093, 1614, 79, 1617, 2131, 1108, 3156, 2646, 1125, 2151, 3183, 2676, 2678, 634, 1149, 2695, 649, 3211, 653, 2191, 147, 2712, 2207, 3232, 161, 2726, 2218, 2225, 2228, 2240, 1224, 2763, 2764, 206, 3278, 1764, 747, 748, 749, 1267, 757, 759, 761, 762, 2812, 767, 768, 771, 772, 1799, 775, 777, 778, 780, 791, 1303, 2330, 795, 2337, 3364, 3373, 3375, 1842, 818, 828, 1852, 3393, 2370, 325, 1866, 1867, 1868, 1360, 2396, 1376, 1385, 2412, 880, 2933, 2937, 2433, 2951, 1932, 910, 1429, 1942, 2459, 1436, 924, 927, 1443, 932, 421, 933, 2982, 1958, 1455, 1456, 955, 959, 1995, 1998, 2516, 1492, 985, 988, 990, 481, 2532, 2535, 2537, 1004, 3053, 1007, 2032, 2035, 1020, 2557]	19
165	166	[1024, 2051, 3076, 516, 3078, 3, 1035, 1039, 2575, 2576, 1551, 2577, 18, 1046, 1047, 1051, 2587, 29, 1565, 33, 1058, 547, 2594, 549, 550, 38, 1064, 545, 3114, 2091, 554, 1069, 46, 47, 2608, 49, 562, 1587, 1580, 2044, 1591, 2104, 2106, 2620, 1090, 2631, 3145, 589, 1617, 3157, 1112, 3161, 1637, 1638, 2664, 2666, 106, 1130, 3181, 1134, 3183, 2160, 625, 3184, 3189, 2688, 1664, 642, 644, 2180, 1158, 649, 1675, 653, 145, 1681, 1682, 2197, 1174, 3223, 662, 1690, 1691, 2204, 155, 671, 1698, 3236, 678, 3239, 2216, 2218, 2219, 175, 1714, 2233, 1722, 186, 1721, 2748, 2751, 1217, 2242, 2243, 1732, 716, 2254, 1744, 1749, 727, 1240, 1761, 2276, 229, 1768, 751, 1776, 753, 242, 757, 758, 1783, 2296, 247, 763, 2811, 2813, 1280, 768, 2086, 2819, 771, 2309, 773, 2310, 1288, 777, 267, 3106, 1807, 2319, 1811, 275, 1301, 1812, 2332, 1820, 1309, 2092, 1827, 1828, 294, 2603, 1324, 814, 3375, 1840, 1328, 1842, 1847, 2370, 323, 1860, 1351, 330, 1866, 333, 334, 341, 1367, 344, 2905, 855, 354, 868, 869, 2405, 2920, 1897, 875, 2412, 1389, 876, 2411, 2929, 884, 895, 896, 2945, 905, 907, 395, 2957, 1934, 1426, 916, 919, 922, 2459, 924, 927, 1951, 1445, 2984, 424, 426, 2988, 428, 1454, 1456, 948, 441, 955, 447, 959, 1984, 1481, 2506, 1482, 2512, 978, 2004, 982, 3034, 476, 3041, 997, 999, 1000, 1001, 3047, 2026, 3050, 494, 1007, 2032, 2546, 1011, 1015, 1013, 3059, 2551, 2042, 2043, 1020, 1534]	20
44	45	[1, 3, 2052, 1027, 1030, 7, 11, 1035, 2061, 2063, 530, 1043, 1046, 25, 2587, 2079, 3104, 545, 34, 1567, 2593, 33, 38, 546, 1064, 1068, 45, 1069, 47, 560, 1585, 1077, 2104, 2105, 1085, 2624, 1091, 1095, 2631, 71, 2124, 1103, 1618, 1106, 3156, 2646, 1629, 3169, 3170, 613, 617, 2669, 3183, 112, 625, 3189, 2678, 127, 639, 2689, 644, 2695, 2186, 1168, 153, 1690, 2205, 670, 1185, 1193, 2218, 684, 686, 179, 707, 2243, 1733, 199, 719, 1749, 217, 219, 3291, 1768, 234, 2796, 748, 749, 751, 754, 758, 759, 760, 248, 2809, 763, 764, 765, 2811, 769, 258, 2821, 777, 268, 782, 1295, 2832, 3345, 3346, 786, 1813, 2325, 792, 2333, 800, 804, 1319, 1835, 1840, 818, 1337, 2873, 316, 1344, 2886, 1372, 2399, 1376, 354, 355, 868, 1892, 1897, 882, 1908, 1912, 1402, 2428, 893, 1416, 2952, 1935, 1940, 407, 2459, 414, 2975, 1956, 1960, 1455, 1970, 435, 436, 2484, 1979, 3010, 3013, 1484, 2511, 464, 2006, 3031, 3035, 988, 476, 990, 1509, 3046, 998, 3047, 2537, 2538, 494, 1519, 2033, 505, 2043]	21
94	95	[2688, 769, 642, 1921, 1536, 2309, 1158, 1033, 10, 267, 1295, 1299, 2197, 2587, 1698, 2595, 547, 424, 1064, 1834, 1324, 1330, 1587, 2489, 954, 1593, 1341, 447, 322, 326, 1991, 1351, 1353, 1993, 2123, 1996, 589, 206, 334, 2512, 1486, 2645, 345, 3297, 354, 995, 1378, 997, 357, 105, 107, 2543, 2033, 1267, 2934, 2807, 2808, 1147, 1918]	22
9	10	[1, 509, 516, 1030, 7, 1034, 2060, 3088, 1042, 2068, 1049, 2073, 2587, 1052, 1053, 3101, 1056, 545, 546, 547, 548, 549, 544, 551, 553, 554, 2089, 1068, 1069, 1070, 3120, 1077, 1591, 1081, 2106, 1593, 60, 1597, 2622, 1086, 2624, 1090, 2626, 1092, 1093, 589, 1101, 1617, 1618, 1106, 3156, 593, 2134, 2129, 3160, 1624, 2650, 605, 2656, 100, 1637, 105, 2667, 2668, 3183, 2160, 3185, 3186, 3187, 2676, 3188, 2678, 1136, 2681, 1147, 1148, 1670, 2695, 648, 135, 3206, 1671, 1673, 1163, 1160, 1168, 1681, 1682, 1685, 1174, 1688, 671, 3232, 165, 1702, 1192, 2730, 1195, 684, 1708, 1709, 1711, 1713, 1714, 2233, 2746, 1722, 2237, 2242, 1220, 2760, 2763, 206, 2766, 721, 1746, 1748, 1749, 3286, 1750, 1758, 2271, 1762, 2276, 1768, 235, 2799, 1777, 1779, 2804, 2807, 1783, 761, 762, 763, 764, 2811, 767, 768, 769, 1280, 259, 1792, 775, 1800, 1802, 3340, 1804, 1805, 271, 787, 1301, 2325, 2839, 792, 802, 803, 1828, 294, 295, 1321, 1324, 812, 1840, 2354, 306, 820, 310, 3392, 321, 2370, 2886, 2887, 2891, 333, 852, 341, 856, 345, 2905, 859, 860, 1373, 347, 2399, 865, 868, 871, 872, 2412, 1389, 2926, 881, 1412, 1418, 909, 910, 1934, 1937, 914, 1942, 2967, 918, 1944, 2459, 1952, 2464, 931, 933, 2472, 2984, 2474, 1963, 1960, 2993, 945, 1975, 954, 447, 959, 3009, 1471, 3010, 1993, 2514, 3032, 2008, 999, 1002, 1005, 2030, 2544, 1011, 2036, 1015, 2551, 1016, 505, 507, 1021, 2558]	23
130	131	[1025, 1026, 1538, 2564, 516, 1030, 1, 11, 1035, 526, 1039, 1041, 2577, 1044, 1556, 1046, 1559, 1048, 1049, 537, 2587, 1568, 1057, 1058, 2595, 547, 1573, 549, 546, 1064, 40, 552, 2091, 550, 46, 2607, 49, 562, 1591, 571, 1087, 1091, 587, 1615, 593, 1106, 1107, 1623, 600, 1625, 1627, 2651, 93, 1630, 3168, 100, 1638, 2664, 106, 629, 1148, 1149, 132, 649, 138, 653, 1165, 2704, 147, 662, 2201, 2204, 3229, 671, 3232, 672, 674, 165, 175, 2225, 2738, 195, 1732, 1735, 1226, 206, 1744, 721, 2769, 1749, 2776, 729, 228, 229, 752, 242, 2290, 247, 2812, 254, 2303, 768, 769, 2307, 2308, 773, 772, 296, 3374, 1328, 1842, 1338, 1852, 1340, 2370, 1347, 836, 2887, 1360, 341, 1373, 1376, 1892, 1381, 1380, 2405, 1897, 1386, 374, 2939, 2940, 2942, 1409, 1412, 1418, 1932, 910, 2459, 924, 1436, 927, 1443, 1445, 1958, 2471, 1963, 2475, 2989, 1454, 2993, 2489, 955, 959, 1486, 2514, 2521, 987, 988, 991, 482, 995, 998, 3047, 999, 1001, 1514, 1005, 494, 1518, 2032, 2033, 1011, 501, 1013, 1015, 1020, 2557]	24
193	194	[1280, 1, 1792, 651, 2060, 3340, 1934, 3091, 3348, 2969, 3226, 2970, 2333, 544, 33, 674, 38, 1064, 1324, 316, 3264, 321, 333, 2514, 339, 467, 2134, 1624, 344, 2403, 1254, 105, 2807, 761, 3066]	25
